// ------=={{ Scene, Intro }}==------ \\

setup.intro = {
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}

setup.bus.char5 = {
	desc, "the red-headed scamp giving you an eager wave.",
	magic, "\"'Twas ordained from birth, for me - my great-great-great-something or other was a founder. And of course, no doubt you've heard of my family? We're renowned for our mastery of $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his $char1familiarDesc $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}

// ------=={{ Scene, Arrival }}==------ \\

setup.arrival = {
	questions, "I have some more questions...", "Continue conversation", "Ask another question", "Keep chatting",
	intro1, "Arrive at destination.",
	intro2, "Groups decide to split up.",
	sentence1, "Decide who to go with...",
	qlist, "magic", "familiar", "food", "fear",
	clist, "char1", "char2", "char3", "char4", "char5",
	ctext1, "Head to the ruins with", "Walk to the ruins with", "Hike to the ruins with",
	ctext2, "Go to the cliffs with", "Head to the cliffs with", "Find the cliffs with",
	char1, "$char1namedisplay",
	char2, "$char2namedisplay",
	char3, "$char3namedisplay",
	char4, "$char4namedisplay",
	char5, "$char5namedisplay",
}

// ------=={{ Scene, Ruins }}==------ \\

setup.ruins = {
    end, "An ear-splitting scream suddenly echoes through the air. Your blood runs cold as memories of your dream flood your mind.",
	questions, "I have some more questions...", "Push for more information", "Ask another question", "Continue your whispered dialogue",
	leave, "Find someone else to speak to", "End your conversation", "Talk to someone else",
	intro1, "Group reaches ruins.",
	intro2, "Try to get familiar service.",
	sentence1, "The group has fanned out, following their faintly shimmering familiars.", "Everyone stands a bit apart from one another, and the air is palpable with unease.",
	sentence2, "Decide who to chat to...", "Who do you want to speak with?", "Who do you wish to approach?",
	qlist, "magic", "familiar", "food", "fear", "suspicion", "service",
	clist, "$withPLayer",
	ctext, "Talk privately with ", "Speak quietly to ", "Whisper to ",
	magic, "What brought you here to the school?", "What are you here to study?",
	familiar, "Is that your familiar there?", "What shape is your familiar?",
	food, "Did you bring any snacks?",
	fear, "Anything you're particularly nervous about?",
	suspicion, "What do you suspect is going on?", "What do you think all this means?",
	service, "Any luck?", "Can't receive either?", "Getting anything?",
}

setup.ruins.char1 = {
	desc, "$char1namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.ruins.char2 = {
	desc, "$char2namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
	suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.ruins.char3 = {
	desc, "$char3namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.ruins.char4 = {
	desc, "$char4namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.ruins.char5 = {
	desc, "$char5namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

// ------=={{ Scene, Cliffs }}==------ \\

setup.cliffs = {
    end, "An ear-splitting scream suddenly echoes through the air. Your blood runs cold as memories of your dream flood your mind.",
	questions, "I have some more questions...", "Push for more information", "Ask another question", "Continue your whispered dialogue",
	leave, "Find someone else to speak to", "End your conversation", "Talk to someone else",
	intro1, "Group reaches cliffs.",
	intro2, "Try to get familiar service.",
	sentence1, "The group has fanned out, following their faintly shimmering familiars.", "Everyone stands a bit apart from one another, and the air is palpable with unease.",
	sentence2, "Decide who to chat to...", "Who do you want to speak with?", "Who do you wish to approach?",
	qlist, "magic", "familiar", "food", "fear", "suspicion", "service",
	clist, "$withPLayer",
	ctext, "Talk privately with ", "Speak quietly to ", "Whisper to ",
	magic, "What brought you here to the school?", "What are you here to study?",
	familiar, "Is that your familiar there?", "What shape is your familiar?",
	food, "Did you bring any snacks?",
	fear, "Anything you're particularly nervous about?",
	suspicion, "What do you suspect is going on?", "What do you think all this means?",
	service, "Any luck?", "Can't receive either?", "Getting anything?",
}

setup.cliffs.char1 = {
	desc, "$char1namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.cliffs.char2 = {
	desc, "$char2namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
	suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.cliffs.char3 = {
	desc, "$char3namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.cliffs.char4 = {
	desc, "$char4namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.cliffs.char5 = {
	desc, "$char5namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

// ------=={{ Scene, Forest }}==------ \\

setup.forest = {
    end, "You all abruptly realise that night has fallen and quickly head towards the latent wards of the henge.",
	questions, "I have some more questions...", "Push for more information", "Ask another question", "Continue your whispered dialogue",
	leave, "Find someone else to speak to", "End your conversation", "Talk to someone else",
	intro1, "Group comes back together in forest.",
	intro2, "Finds altar and remains of teacher.",
	sentence1, "What could have done this?",
	sentence2, "Decide who to chat to...", "Who do you want to speak with?", "Who do you wish to approach?",
	qlist, "witness", "teacher", "alibi", "suspicion", "fear",
	clist, "char1", "char2", "char3", "char4", "char5",
	ctext, "Talk privately with ", "Speak quietly to ", "Whisper to ",
	witness, "Did you witness anything?", "Did you see anything strange?",
	teacher, "Do you think this is...her?", "How do we know it's her?",
	alibi, "Where were you when this happened?",
	food, "Did you bring any snacks?",
	fear, "Anything you're particularly nervous about?",
	suspicion, "What do you suspect is going on?", "What do you think all this means?",
	service, "Any luck yet with the familiar?", "Has your familiar picked up anything?",
}

setup.forest.char1 = {
	desc, "$char1namedisplay",
	witness, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	teacher, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
  suspicion, "I don't like it admit it, but I'm flummoxed.",
		service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.forest.char2 = {
	desc, "$char2namedisplay",
	witness, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	teacher, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
	suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.forest.char3 = {
	desc, "$char3namedisplay",
	witness, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	teacher, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.forest.char4 = {
	desc, "$char4namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.forest.char5 = {
	desc, "$char5namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

// ------=={{ Scene, Henge }}==------ \\

setup.henge = {
    end, "You all abruptly realise that night has fallen and quickly head towards the latent wards of the henge.",
	questions, "I have some more questions...", "Push for more information", "Ask another question", "Continue your whispered dialogue",
	leave, "Find someone else to speak to", "End your conversation", "Talk to someone else",
	intro1, "Group comes back together in forest.",
	intro2, "Finds altar and remains of teacher.",
	sentence1, "What could have done this?",
	sentence2, "Decide who to chat to...", "Who do you want to speak with?", "Who do you wish to approach?",
	qlist, "witness", "teacher", "alibi", "suspicion", "fear",
	clist, "char1", "char2", "char3", "char4", "char5",
	ctext, "Talk privately with ", "Speak quietly to ", "Whisper to ",
	witness, "Did you witness anything?", "Did you see anything strange?",
	teacher, "Do you think this is...her?", "How do we know it's her?",
	alibi, "Where were you when this happened?",
	food, "Did you bring any snacks?",
	fear, "Anything you're particularly nervous about?",
	suspicion, "What do you suspect is going on?", "What do you think all this means?",
	service, "Any luck yet with the familiar?", "Has your familiar picked up anything?",
}

setup.henge.char1 = {
	desc, "$char1namedisplay",
	witness, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	teacher, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
  suspicion, "I don't like it admit it, but I'm flummoxed.",
		service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.henge.char2 = {
	desc, "$char2namedisplay",
	witness, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	teacher, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
	suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.henge.char3 = {
	desc, "$char3namedisplay",
	witness, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	teacher, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.henge.char4 = {
	desc, "$char4namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

setup.henge.char5 = {
	desc, "$char5namedisplay",
	magic, "\"I'm loathe to admit it, but this is beyond me. My family are renowned, it's true, but our speciality is $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
